kod_ZSJ	Obydlené byty v bytových domech    - s teplou vodou	Obydlené byty v bytových domech - právní důvod užívání bytu: nájemní	Obydlené byty v bytových domech    - s vlastní koupelnou, sprchovým koutem	Obydlené byty v bytových domech	Obydlené byty  v bytových domech - se sníženou kvalitou	Obydlené byty v bytových domech    - s vlastním splachovacím záchodem	Obydlené byty v bytových domech    - vodovod v bytě	Obydlené byty v bytových domech - způsob vytápění: kamna
8508	90	20	91	95	4	91	89	
10006	245	188	248	289	12	254	254	64
10014	434	389	435	522	24	438	439	75
10022	690	659	689	807	46	694	700	166
10031	444	407	449	523	26	452	452	141
10049	1019	732	1022	1261	90	1044	1063	344
10057								
10065	1271	717	1274	1454	59	1283	1309	368
10073	669	467	670	768	37	675	694	138
10081	454	157	459	509	22	464	468	57
10090	106	50	105	116	3	107	107	25
10103	1176	390	1178	1284	62	1180	1194	153
10111	356	202	352	401	31	353	362	96
10120	385	147	382	432	35	384	392	60
10138	2	3	2	28	25	2	3	2
10146	1488	624	1486	1593	43	1511	1516	310
10154	1114	330	1118	1188	39	1118	1121	202
10162								
10171	7	8	7	10	2	8	8	5
10189								
10197	51	12	52	62	5	52	52	
10201								
10219	236	43	238	257	12	239	240	2
10227	73	24	73	75		73	73	1
10235	73	45	74	78	4	73	74	1
10243								
10251	2	2	2	3		2	2	
10260								
10278								
10286	16	9	16	23		16	16	6
10294	1250	531	1257	1294	37	1255	1258	
10308	2531	982	2556	2717	155	2560	2561	
10316	2268	1369	2284	2409	119	2281	2288	
10324	128	36	129	144	2	131	131	21
10332	305	74	308	342	12	309	310	59
10341	322	99	323	349	13	323	323	1
10359	1922	1220	1930	2194	64	1939	1959	508
10367	2265	1284	2279	2521	80	2287	2296	550
10375								
10383	817	498	821	925	56	828	832	175
10391	1533	708	1547	1704	53	1550	1558	484
10405	1565	1095	1572	1746	124	1577	1594	149
10413	1156	682	1165	1223	47	1165	1168	117
10421	501	254	502	552	24	505	507	86
10430	609	191	610	646	27	610	614	31
10448	118	80	120	131	3	121	121	21
10456	188	34	190	210	11	190	191	9
10464	229	102	237	258	14	236	237	15
10472	311	89	310	339	18	311	311	7
10481	1401	427	1402	1459	56	1400	1407	
10499	919	391	922	969	40	926	927	
10502	164	32	165	184	5	165	165	7
10511								
10529								
10537								
10545	15	5	16	18	1	17	17	
10553	357	125	360	380	20	359	360	
10561	440	114	443	465	20	442	443	
10570								
10588	49	13	49	55	5	49	49	
10596	73	20	72	79	4	72	73	2
10600	88	9	86	95	7	88	88	
10618	467	148	473	491	16	473	473	
10626								
10634								
10642	1477	362	1490	1570	80	1487	1491	
10651								
10669								
10677	752	521	743	898	44	754	771	270
10685								
10693	653	503	652	780	65	658	677	204
10707	213	205	210	317	28	217	224	137
10715	286	288	295	396	17	297	303	165
10723	111	115	108	125	4	116	116	38
10731	912	795	913	1104	45	935	961	542
10740	1003	760	1008	1129	30	1004	1018	391
10758	700	416	707	762	23	709	711	123
10766								
10774	337	312	338	348	6	338	340	57
10782	557	407	569	623	10	570	571	157
10791	1643	1194	1672	1825	47	1678	1686	499
10804								
10812	971	536	975	1076	38	990	995	221
10821	1114	653	1120	1162	42	1118	1122	
10839	599	522	589	730	50	612	635	299
10847	327	293	326	402	31	326	350	140
10855	53	41	54	78	1	54	54	25
10863	271	48	269	298	23	270	273	9
10871	601	44	604	631	22	604	606	
10880	3131	1293	3143	3259	106	3141	3150	1
10898	1962	594	1964	2041	75	1960	1966	
10901	1154	340	1159	1270	111	1158	1159	
10910	303	281	306	503	118	303	320	171
10928	16		17	19	2	17	17	
10936	482	438	484	561	14	495	497	290
10944								
10952	312	262	303	365	26	311	322	148
10961	322	302	315	444	61	314	334	138
10979	434	308	438	527	29	445	452	168
10987								
10995	116	118	110	181	16	114	123	63
11011	5	7	1	11	6	2	7	6
11029	1153	980	1157	1307	86	1157	1177	113
11037								
11045	30	24	28	39	3	29	31	16
11053	104	67	104	133	7	108	110	45
11061	367	205	370	399	18	370	370	47
11070	3	3	3	3		3	3	
11088	104	93	103	133	11	101	104	60
11096	258	180	258	308	21	262	272	139
11100	350	241	349	413	24	355	366	123
11118	10	5	11	12		11	11	3
11126	228	96	230	249	15	232	233	37
11134	4630	2687	4638	5017	363	4636	4644	
11142	349	163	355	378	12	358	360	44
11151								
11169	28	11	28	30		28	28	13
11177	694	521	697	748	39	697	705	39
11185	393	412	410	444	27	411	413	70
11193	552	321	564	631	27	568	572	128
11207	1269	851	1277	1339	57	1277	1283	
11215	751	214	757	834	61	761	762	65
11223	220	200	222	257	1	229	228	89
11231	456	322	462	501	17	460	457	75
11240	446	268	451	521	30	456	459	126
11258	950	699	959	1022	54	955	957	3
11266	2	3	2	5		2	3	1
11274	84	30	85	100	13	86	86	1
11282								
11291								
11304								
11321	1		1	1		1	1	
11339								
11347	631	304	638	702	16	639	643	159
11363	1487	774	1496	1653	89	1503	1505	196
11371	268	146	267	321	9	272	278	116
11380								
11398	119	89	116	151	2	121	120	49
11401	581	547	584	613	27	586	586	
11436	1330	896	1342	1469	60	1359	1365	309
11444	448	336	450	519	29	456	459	141
11452	947	456	955	1068	42	962	963	184
11461	261	152	263	320	39	260	268	51
11479	6	5	6	19	13	6	6	
11487				7				
11495	5	5	5	6		5	5	
11509	148	121	147	173	18	148	148	12
11517	1034	574	1043	1068	25	1041	1044	
11525	1931	1027	1935	2096	130	1938	1943	82
11533	113	55	114	123	4	114	114	
11541								
11550								
11568	28	29	29	29		29	29	
11576								
11584	368	120	376	416	33	376	376	9
11592	664	393	677	700	22	677	677	2
11606	1627	518	1636	1720	78	1635	1639	
11614	888	120	892	935	24	893	895	24
11622								
11631	3		3	3		3	3	
11649	267	65	269	275	2	268	270	
11657	346	31	347	361	2	347	347	1
11665	23	4	23	26		23	23	15
11673	1	1	1	1		1	1	
11681	2	1	2	2		2	2	
11690								
11703								
11720	776	314	781	829	46	781	781	
11738								
11746								
11754	1027	186	1030	1149	118	1029	1032	
11762								
11771	291	130	293	308	11	293	293	
11789	619	298	628	658	30	628	628	
11797	2676	1286	2684	2839	147	2687	2691	
11801	3	3	3	3		3	3	1
11819								
11827	1861	830	1876	1944	64	1877	1882	
11835	152	116	153	159	6	153	153	
11843								
11851	7	1	7	8		7	7	6
11860								
11878								
11886								
11894								
11908	20	3	21	23	2	21	21	
11916	3		3	4		3	3	3
11924								
11932								
11941								
11959								
11967	1488	347	1497	1569	53	1494	1501	1
11975	2189	438	2210	2278	65	2209	2212	
11983	1744	565	1757	1830	71	1756	1761	
11991	2		2	5		2	2	2
12009	20	12	20	20		20	20	
12017	22	8	21	39	16	21	22	6
12033	3411	1371	3452	3577	113	3455	3463	
12041								
12050								
12068	136	30	136	147	3	137	137	10
12076								
12084	14	9	14	15	1	14	14	5
12092	19	9	19	23		20	20	4
12106	29	10	29	33	3	29	29	4
12114	99	16	100	107	2	101	101	11
12122								
12131								
12149	4		4	4		4	4	
12157								
12165								
12173	31	7	31	35	4	31	31	1
12190								
12203								
12211								
12220	17	5	16	24	1	16	17	2
12238								
12246	1		1	4		1	1	
12271								
12289	166	41	168	184	4	169	169	2
12301	765	461	779	821	10	777	779	38
12319								
12327	176	24	176	186	1	176	176	1
12335	61	7	61	95	14	61	61	3
12343	2286	1404	2298	2452	134	2298	2301	
12351				3				
12360	85	80	87	109	22	87	87	
12378	8	4	8	9		8	8	1
12386	4167	2543	4185	4496	281	4188	4193	1
12394								
12408	10	1	10	17	4	10	10	
12416	320	38	320	370	32	319	320	
12424								
12441								
12459								
12467								
12475								
12483	92	39	92	113	10	94	94	25
12491	83	57	81	97	2	82	84	30
12505								
12513	8	3	8	8		8	8	2
12521	5	5	5	6	1	5	5	
12530	37	11	39	40	1	39	39	2
12556	81	36	82	99	6	79	86	21
12564	240	28	246	254	7	246	246	9
12572	9	9	9	10		9	9	7
12581	2	2	2	3		2	2	1
12599								
33898								
54135	433	79	437	477	25	438	438	14
55859	44	7	44	48	2	44	44	
58203	41	1	41	43		41	41	
112682								
151912	52	10	52	61	5	51	52	1
175552	24	16	25	25		25	25	
195677	300	13	303	339	13	303	303	1
303941	6	3	6	17		6	6	
303968								
303976								
303984								
303992	2053	1093	2059	2187	116	2059	2066	1
304000	1388	726	1401	1445	43	1401	1403	
313246								
313254								
313262								
313271	998	631	1007	1044	36	1008	1007	
313289								
313297	710	399	714	794	63	715	715	1
313301	1470	917	1470	1535	55	1474	1477	
313319								
313327								
313343								
318523	117	134	116	261	86	113	141	76
318531	398	378	386	506	43	384	425	184
320790								
320803	178	83	178	198	20	178	178	
320811	94	21	95	99		95	95	1
320820	9	8	8	10		9	9	6
328600	5	5	5	6	1	5	5	
328618	1820	536	1834	1946	108	1837	1838	
328626	1686	734	1698	1771	56	1697	1699	
328634	209	47	211	231	14	211	212	
328642								
